TextileID,Time,Taskname,10M,1M,330k,100k,47k,10k,4.7k,1k,407,220,47,10,4.7,Newton,Weight
e4,48118,PressureDynamics,3795,3683,3352,2702,2302,891,499,126,63,33,10,2,1,0.769,-1
e4,48127,PressureDynamics,3799,3669,3385,2715,2314,887,497,125,62,32,9,2,1,0.769,-1
e4,48135,PressureDynamics,3798,3671,3386,2734,2327,893,507,128,62,33,10,2,1,0.77,-1
e4,48144,PressureDynamics,3788,3686,3380,2727,2321,893,502,126,63,33,10,2,1,0.77,-1
e4,48153,PressureDynamics,3805,3692,3374,2739,2336,890,502,126,62,33,10,2,1,0.769,-1
e4,48162,PressureDynamics,3798,3686,3360,2700,2287,875,485,121,60,32,9,1,1,0.767,-1
e4,48170,PressureDynamics,3792,3669,3354,2695,2287,875,488,123,62,31,10,2,1,0.776,-1
e4,48179,PressureDynamics,3785,3676,3324,2675,2261,867,485,123,60,32,9,2,1,0.773,-1
e4,48188,PressureDynamics,3794,3672,3319,2680,2256,868,480,121,60,31,9,2,1,0.769,-1
e4,48198,PressureDynamics,3789,3672,3350,2708,2267,871,482,120,60,31,9,2,1,0.768,-1
e4,48204,PressureDynamics,3786,3688,3331,2688,2273,881,491,123,61,31,10,2,1,0.771,-1
e4,48209,PressureDynamics,3798,3666,3357,2691,2272,866,478,121,61,32,11,2,1,0.772,-1
e4,48213,PressureDynamics,3797,3678,3364,2718,2291,881,490,123,61,32,9,1,1,0.761,-1
e4,48218,PressureDynamics,3806,3676,3361,2713,2294,883,492,124,61,32,10,2,1,0.774,-1
e4,48222,PressureDynamics,3802,3667,3340,2691,2282,884,493,124,62,32,9,2,1,0.774,-1
e4,48229,PressureDynamics,3788,3684,3366,2718,2299,890,499,125,63,33,9,2,1,0.763,-1
e4,48238,PressureDynamics,3799,3674,3371,2709,2303,889,499,126,64,33,10,2,1,0.784,-1
e4,48248,PressureDynamics,3784,3666,3330,2689,2271,877,490,123,61,32,9,2,1,0.766,-1
e4,48258,PressureDynamics,3798,3668,3326,2682,2256,867,485,121,61,31,9,2,1,0.785,-1
e4,48268,PressureDynamics,3776,3657,3289,2617,2187,827,457,116,58,30,9,2,1,0.76,-1
e4,48277,PressureDynamics,3785,3665,3308,2652,2223,851,472,119,59,31,9,2,1,0.762,-1
e4,48286,PressureDynamics,3782,3672,3332,2675,2253,861,478,120,59,31,9,2,1,0.778,-1
e4,48296,PressureDynamics,3784,3672,3301,2664,2246,867,482,121,60,31,9,1,1,0.77,-1
e4,48304,PressureDynamics,3780,3673,3327,2666,2248,869,483,122,59,32,9,2,1,0.763,-1
e4,48314,PressureDynamics,3782,3659,3323,2668,2242,862,479,120,60,31,10,2,1,0.776,-1
e4,48324,PressureDynamics,3773,3655,3304,2648,2234,858,476,119,60,31,9,2,1,0.773,-1
e4,48332,PressureDynamics,3768,3630,3268,2597,2180,812,453,112,57,29,8,1,1,0.768,-1
e4,48341,PressureDynamics,3777,3630,3300,2601,2181,832,458,114,57,30,9,2,1,0.767,-1
e4,48348,PressureDynamics,3788,3637,3311,2667,2242,857,475,120,59,31,9,2,1,0.773,-1
