LineID,	 Timestamp,		 ParticipantID,	 Repetition,	 Condition,	 PulseWidth,	 Frequency,	 Intensity,	 Granularity

10,	 21:13 29/3/2018,	 3,		 0,		 10,		 2000,		 220,		 0.5,		 0.5
0,	 21:15 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.5,		 0.5
0,	 21:23 29/3/2018,	 3,		 0,		 0,		 500,		 100,		 0.07625,		 0.54875
1,	 21:24 29/3/2018,	 3,		 0,		 1,		 2000,		 10,		 0.52125,		 0.66625
2,	 21:24 29/3/2018,	 3,		 0,		 2,		 1000,		 220,		 0.39375,		 0.4675
3,	 21:24 29/3/2018,	 3,		 0,		 3,		 500,		 10,		 0.02625,		 0.62625
4,	 21:25 29/3/2018,	 3,		 0,		 4,		 500,		 220,		 0.155,		 0.52625
5,	 21:25 29/3/2018,	 3,		 0,		 5,		 2000,		 40,		 0.5,		 0.5
6,	 21:26 29/3/2018,	 3,		 0,		 6,		 500,		 40,		 0.5,		 0.5
7,	 21:26 29/3/2018,	 3,		 0,		 7,		 2000,		 100,		 0.5,		 0.5
8,	 21:26 29/3/2018,	 3,		 0,		 8,		 1500,		 40,		 0.5,		 0.5
9,	 21:26 29/3/2018,	 3,		 0,		 9,		 1500,		 100,		 0.5,		 0.5
10,	 21:27 29/3/2018,	 3,		 0,		 10,		 2000,		 220,		 0.5,		 0.5
11,	 21:27 29/3/2018,	 3,		 0,		 11,		 1500,		 10,		 0.5,		 0.5
12,	 21:27 29/3/2018,	 3,		 0,		 12,		 1000,		 100,		 0.5,		 0.5
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
0,	 12:51 31/7/2019,	 null,		 null,		 0,		 0,		 0,		 
